,ID_REF,GSM215632,GSM215633,GSM215636,GSM215639,GSM215642
435,,3.8,29.1,71.1,31.1,6.5
436,CIRBP-AS1,91.1,215.7,209.0,158.9,219.0
437,AXDND1,28.2,44.8,6.1,0.8,16.4
438,ASMTL-AS1,8.5,7.1,8.7,21.1,89.5
439,ASMTL-AS1,116.0,186.6,138.9,24.9,180.4
440,CD200R1,16.1,7.9,34.1,2.3,2.8
441,LINC00334,49.6,18.0,46.1,30.4,14.7
442,LINC00334,42.5,66.4,48.7,7.9,15.5
443,ATOH7,30.2,34.1,25.2,36.2,35.8
444,ATOH7,77.8,134.7,21.8,83.8,51.9
445,SEC16B,9.4,28.3,4.1,32.7,35.7
446,AMER1,37.7,39.8,40.3,45.4,12.2
447,NKX6-3,95.5,90.8,79.8,86.9,84.8
448,NKX6-3,108.4,181.9,42.3,258.0,27.7
449,TBATA,101.1,102.4,185.5,107.5,37.5
450,EXOC3L2,175.9,252.1,342.0,295.0,217.0
451,CABP4,30.0,14.4,29.1,6.0,7.9
452,TNFRSF13C,15.5,34.7,72.0,18.8,6.4
453,CAMK2N2,160.2,124.6,140.6,139.2,93.2
454,ANKRD30BP2,20.5,54.8,106.4,55.2,40.9
455,KCNG3,145.4,125.0,114.2,180.2,106.8
456,KCNG3,15.8,7.6,37.3,40.7,52.1
457,LINC01312,53.8,61.7,51.7,78.9,65.0
458,LINC01312,46.3,54.1,55.4,25.4,7.4
459,FOXP2,39.0,7.7,4.6,6.9,5.7
460,B4GALNT2,34.5,53.8,12.6,13.2,69.0
461,NETO1,123.9,51.0,46.6,87.9,90.4
462,FMR1NB,59.7,2.7,22.5,5.3,0.8
463,GCSAML,4.3,46.4,27.8,3.8,24.7
464,SIGLEC11,51.0,70.9,79.4,2.3,57.3
465,SIGLEC11,11.6,6.3,29.1,26.8,25.5
466,IL23R,41.7,26.4,12.9,16.8,3.5
467,MAGEB18,25.9,25.5,1.4,0.8,1.2
468,CD276,57.2,74.1,31.1,51.5,98.0
469,IFNL2,122.6,96.2,78.5,35.1,47.3
470,IFNL1,55.3,123.2,94.2,110.9,70.0
471,C4orf36,36.7,25.1,36.7,47.6,26.4
472,FIGNL1,1146.3,864.7,774.1,1072.0,1310.4
473,RIMS1,35.3,42.9,6.1,38.9,8.2
474,PITPNM2,84.2,77.4,110.2,94.5,99.4
475,PITPNM2,24.8,19.7,80.6,26.7,100.7
